K,dash_p50,dash_p99,redis_p50,redis_p99,gain
3,1.72165,2.804317,2.59225,4.094448,1.4600517701814737
6,1.3051,2.2810569999999997,1.9287,2.9398329999999997,1.2888029540691004
9,1.161,2.0595529999999997,1.6459000000000001,2.647214,1.2853342448579863
15,1.3507,2.2141960000000003,2.3053999999999997,5.262366,2.376648679701345
30,1.2588,2.3627549999999995,2.02215,3.242735,1.3724381072095926
50,1.1431,2.045001,1.65515,2.553581,1.2486942549172346
