alpha,horizon_h,n,shock_count,shock_rate,neg_count,pos_count,neg_rate,pos_rate,pos_neg_ratio,abs_future_r_median_shock,abs_future_r_p90_shock,abs_future_r_p99_shock
1.5,30,229970,48121,0.2092490324824977,24924,23197,0.10837935382876027,0.10086967865373744,0.9307093564435885,0.0007061955714365992,0.0015161493995377445,0.003218363963173272
2.0,30,229970,27862,0.12115493325216332,14753,13109,0.06415184589294255,0.057003087359220765,0.8885650376194673,0.0008431201158260251,0.0017614685029328958,0.003814294464116962
3.0,30,229970,9961,0.0433143453493934,5432,4529,0.02362047223550898,0.01969387311388442,0.8337628865979382,0.0011188468360702683,0.00230295998740683,0.005349905642436861
